City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Katsuura,JP,74.84,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
5,Dessau,DE,77.38,broken clouds,51.8386,12.2456,"Radisson Blu Fürst Leopold Hotel, Dessau"
13,Kieta,PG,77.79,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
18,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Khao Wong,TH,77.16,moderate rain,16.7001,104.0902,ลำน้ำยังรีสอร์ท
24,Auki,SB,75.88,scattered clouds,-8.7676,160.7034,Auki Motel
26,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Jamestown,US,73.94,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Ode,NG,73.15,overcast clouds,7.7899,5.7117,OWONIDADDY HOTEL AND SUITES
33,Hilo,US,74.62,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
40,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
52,Bambous Virieux,MU,70.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
53,Castro,BR,70.43,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
58,Mechetinskaya,RU,77.14,clear sky,46.7713,40.456,"Stoyanka Andreyev Stan, Shinomontazh, Dush, Stirka."
61,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
62,Bulancak,TR,71.42,broken clouds,40.9372,38.2291,Başoğlu Bulancak Otel
63,Bengkulu,ID,76.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Vaini,TO,75.36,clear sky,-21.2,-175.2,Keleti Beach Resort
70,Tateyama,JP,76.1,light rain,34.9833,139.8667,Tateyama Seaside Hotel
85,Vanimo,PG,77.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
86,Corrientes,AR,76.96,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
88,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
98,Los Llanos De Aridane,ES,73.15,few clouds,28.6585,-17.9182,Valle Aridane
103,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
106,Tura,IN,78.39,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
109,Teguise,ES,79.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
110,Eau Claire,US,76.17,few clouds,44.8114,-91.4985,Hampton Inn Eau Claire
114,Isangel,VU,75.13,scattered clouds,-19.55,169.2667,Tanna Lodge
115,Samarai,PG,76.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
119,Torbay,CA,78.89,scattered clouds,47.6666,-52.7314,Gallows Cove
120,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
124,Korla,CN,78.35,broken clouds,41.7597,86.1469,Gulisitan Hotel
126,Plouzane,FR,71.65,clear sky,48.3833,-4.6167,Lymina
129,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
134,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
135,Nagato,JP,79.3,overcast clouds,34.3833,131.2,いそう庵
141,Mokolo,CM,73.6,light rain,10.7398,13.8019,Diwa Hôtel
145,Hasaki,JP,73.8,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
150,La Ronge,CA,70.05,few clouds,55.1001,-105.2842,Northland Motor Hotel
156,Novo Cruzeiro,BR,70.07,overcast clouds,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
166,Conceicao Da Barra,BR,79.34,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
169,Shingu,JP,73.85,overcast clouds,33.7333,135.9833,Shingu UI Hotel
173,Nouadhibou,MR,73.38,few clouds,20.931,-17.0347,El Medina
178,Sao Filipe,CV,76.46,few clouds,14.8961,-24.4956,Hotel Xaguate
184,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
188,Buala,SB,77.07,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
192,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
200,Dzerzhinsk,RU,73.22,light rain,56.2389,43.4631,Hotel Druzhba
201,Mitsamiouli,KM,79.09,scattered clouds,-11.3847,43.2844,Foyer ADM
202,Padang,ID,73.45,moderate rain,-0.9492,100.3543,Mercure Padang
204,Curillo,CO,74.88,overcast clouds,1.0333,-75.9191,CASA CLUB
211,Broome,US,76.08,broken clouds,42.2506,-75.833,Chenango Valley State Park
216,Mandalgovi,MN,72.57,overcast clouds,45.7625,106.2708,В.Ганбат
218,Bushenyi,UG,71.85,scattered clouds,-0.5853,30.2114,College View Guest House
225,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
226,Montepuez,MZ,71.53,broken clouds,-13.1256,38.9997,PembaAparthotel
230,Ambilobe,MG,71.46,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
232,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
235,Tanete,ID,73.69,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
238,Tabou,CI,77.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
243,Moose Jaw,CA,71.87,broken clouds,50.4001,-105.5344,Temple Gardens Hotel & Spa
244,Biak,ID,74.35,moderate rain,-0.9131,122.8766,Penginapan Kim
248,Meulaboh,ID,78.57,scattered clouds,4.1363,96.1285,Kost Pria
249,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
251,Bojonegoro,ID,74.84,overcast clouds,-7.1502,111.8817,Dewarna Hotel & Convention
257,Ilinskiy,RU,72.3,clear sky,55.619,38.1182,Around the world
258,Nantucket,US,79.09,scattered clouds,41.2835,-70.0995,Jared Coffin House
262,Kayankulam,IN,78.96,overcast clouds,9.1833,76.5,Hotel Indraprastha
263,Caravelas,BR,75.85,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
264,Huejuquilla El Alto,MX,74.7,broken clouds,22.6,-103.8667,Hotel Huexuquillan
267,Pinega,RU,74.25,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
268,Shenjiamen,CN,77.65,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
269,Tambopata,PE,76.89,broken clouds,-12.7333,-69.1833,Enashawa Lodge
270,Ciudad Del Maiz,MX,75.61,overcast clouds,22.4,-99.6,Hotel Casona del General
277,Banjar,ID,75.85,scattered clouds,-8.19,114.9675,The Hamsa Resort
280,Bata,GQ,78.01,broken clouds,1.8639,9.7658,Hotel Elik Melen
283,Half Moon Bay,US,72.57,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
284,Tautira,PF,75.7,overcast clouds,-17.7333,-149.15,Pension Oaoa
287,Pangai,TO,77.65,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
291,Marovoay,MG,76.86,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
293,Atasu,KZ,77.86,clear sky,48.6814,71.6433,Dostyk
297,Novouzensk,RU,73.65,light rain,50.4592,48.1431,Gostinichnyy Domik
301,Tingo Maria,PE,77.31,scattered clouds,-9.2895,-76.0088,Hospedaje Paraíso
302,Troitsk,RU,76.95,clear sky,54.0979,61.5773,Hotel H2O
305,Anau,PF,77.22,light rain,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
307,Shimoda,JP,74.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
321,Zhangjiakou,CN,73.4,few clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
325,Pandharpur,IN,73.65,overcast clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
332,Ahuimanu,US,78.51,light rain,21.4447,-157.8378,Paradise Bay Resort
335,Kijang,KR,76.73,overcast clouds,35.2442,129.2139,Samyang Beach Villa
336,Praia Da Vitoria,PT,79.05,broken clouds,38.7333,-27.0667,Hotel Branco I
348,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
355,Kubanskiy,RU,76.21,clear sky,45.9292,40.5806,"Бальнеологический центр «Термы», Геотермальный источник"
358,Dingle,PH,76.14,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
360,Muncar,ID,76.39,broken clouds,-8.4333,114.3333,Zaky Homestay
367,Srandakan,ID,76.73,overcast clouds,-7.9386,110.2506,Puri Brata
377,Roma,US,75.72,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
378,Moose Factory,CA,73.4,few clouds,51.2585,-80.6094,Cree Village Eco Lodge
379,Quatre Cocos,MU,70.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
384,Naldurg,IN,71.51,overcast clouds,17.8167,76.3,Chacha biryani hotel
393,Derzhavinsk,KZ,77.2,clear sky,51.1,66.3167,Ooo.khim Baza
395,Buchanan,LR,76.6,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
399,Payo,ID,73.36,light rain,-3.7508,103.6372,Mess keban agung
400,Pirogovo,RU,74.64,overcast clouds,56.7796,53.1495,Гостиница Нарцисс
414,Burlatskoye,RU,77.86,broken clouds,45.0564,43.635,Zhiteli Sela
419,Burley,US,71.56,few clouds,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
423,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
429,Kirakira,SB,76.75,overcast clouds,-10.4544,161.9205,SanBiz Lodge
430,Shelburne,CA,73.29,clear sky,44.0787,-80.2041,The Retreat at the Farm
436,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
438,Pacifica,US,70.61,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
441,Balkhash,KZ,76.01,clear sky,46.844,74.9804,Family
446,Loandjili,CG,74.73,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
447,Faanui,PF,77.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
449,Lakota,CI,75.69,light rain,5.8528,-5.6883,Aziz bah divers
456,Tuy Hoa,VN,78.06,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
458,Kinsale,IE,71.24,broken clouds,51.7075,-8.5306,Actons Hotel Kinsale
467,Erenhot,CN,79.5,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
470,Vuktyl,RU,77.4,few clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
473,Kawalu,ID,73.27,overcast clouds,-7.3817,108.2082,West Jontor
483,Santa Fe,AR,71.01,light rain,-31.6333,-60.7,Conquistador Hotel
495,Pandaria,IN,79.32,heavy intensity rain,22.2333,81.4167,Sonu Rajak
496,Lasem,ID,77.43,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
498,Iskateley,RU,79.52,clear sky,67.6803,53.1512,Hostel Agat
506,Bang Saphan,TH,76.91,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
507,Norsup,VU,77.58,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
509,Amarwara,IN,74.73,heavy intensity rain,22.3,79.1667,Prasiya Chat Bhandaar Amareara
513,Uray,RU,74.03,broken clouds,60.1247,64.7758,Hotel Pioner
524,Margate,GB,73.31,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
527,Hobyo,SO,78.82,broken clouds,5.3505,48.5268,Iftin hotel hobyo
536,Zolochiv,UA,71.98,broken clouds,49.806,24.8944,Hotel Avalon
537,Domoni,KM,75.18,scattered clouds,-12.2569,44.5319,Al Djadid
543,Aleksandrov Gay,RU,74.95,light rain,50.147,48.5704,Gostinitsa
544,Gimli,CA,73.42,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
550,Benguela,AO,72.36,clear sky,-12.5763,13.4055,Hotel Praia Morena
551,Nyimba,ZM,72.5,broken clouds,-14.5566,30.8149,Dali Dali Lodge
558,Lozuvatka,UA,75.25,clear sky,48.0571,33.2858,Richka
559,Tumaco,CO,79.47,overcast clouds,1.7986,-78.8156,Unión Victoria
561,Baculin,PH,78.51,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
562,Maragogi,BR,79.23,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
569,Formosa,AR,76.98,broken clouds,-26.1775,-58.1781,Asterión Departamentos
572,Pleshanovo,RU,74.39,overcast clouds,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
574,Kimbe,PG,76.73,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
575,Gombong,ID,76.21,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
577,Bac Lieu,VN,78.17,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
582,Altamont,US,72.77,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
585,Abonnema,NG,79.39,light rain,4.7084,6.7931,Corper's Lodge Obonoma
587,Mangan,IN,75.87,scattered clouds,27.5167,88.5333,Hotel Mout View
598,Meadville,US,76.78,broken clouds,41.6414,-80.1515,"Holiday Inn Express Meadville (I-79 Exit 147A), an IHG Hotel"
601,Matara,LK,76.93,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
605,Kroya,ID,77.59,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
608,Medicine Hat,CA,72.21,clear sky,50.0501,-110.6683,Ramada Limited Medicine Hat
609,Namatanai,PG,78.46,light rain,-3.6667,152.4333,Seagulls Inn Namatani
611,Parva,RO,70.16,broken clouds,47.4,24.55,turism parva srl
617,Yashkul,RU,79.25,broken clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
619,Tevaitoa,PF,76.71,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
623,Nhulunbuy,AU,70.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
632,Brainerd,US,73.65,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
639,Tarakan,ID,77.32,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
641,Sao Miguel,BR,77.77,broken clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
643,Bitung,ID,76.05,light rain,1.4451,125.1824,K2 Lembeh
648,Bageshwar,IN,71.65,overcast clouds,29.85,79.7667,Dangwal house
650,Peru,US,79.59,few clouds,40.7537,-86.0689,Cole Porter Inn
661,Unjha,IN,72.99,broken clouds,23.8,72.4,Shree Umiya Mataji Guest House
666,Muroto,JP,77.09,moderate rain,33.2833,134.15,Oota Ryokan
667,Payakumbuh,ID,70.52,light rain,-0.2202,100.6308,Dalimo Homestay
676,Susanville,US,78.12,clear sky,40.4163,-120.653,Comfort Inn & Suites
