City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,79.52,53,20,12.66,few clouds
1,Matagami,CA,49.7502,-77.6328,62.71,67,100,6.91,overcast clouds
2,Iqaluit,CA,63.7506,-68.5145,43.7,81,90,10.0,overcast clouds
3,Te Anau,NZ,-45.4167,167.7167,40.03,96,100,0.76,overcast clouds
4,Kapaa,US,22.0752,-159.319,80.92,79,100,17.27,overcast clouds
5,Ballarat,AU,-37.5662,143.8496,41.61,81,96,3.33,overcast clouds
6,San Cristobal,VE,7.7669,-72.225,82.58,44,96,7.29,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,39.31,81,75,19.57,light rain
8,Katsuura,JP,35.1333,140.3,74.19,93,100,6.91,overcast clouds
9,Rio Grande,BR,-32.035,-52.0986,59.11,68,0,11.54,clear sky
10,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,0,11.5,clear sky
11,Monroe,US,43.1501,-77.6831,78.53,72,75,12.66,broken clouds
12,Carnarvon,AU,-24.8667,113.6333,53.67,100,0,4.61,clear sky
13,Camacha,PT,33.0833,-16.3333,67.42,73,75,5.75,broken clouds
14,Abomey,BJ,7.1829,1.9912,74.79,85,100,8.1,overcast clouds
15,Road Town,VG,18.4167,-64.6167,87.89,66,40,12.66,scattered clouds
16,Hilo,US,19.7297,-155.09,80.33,89,100,10.36,overcast clouds
17,Bredasdorp,ZA,-34.5322,20.0403,58.78,68,100,19.08,overcast clouds
18,Luwuk,ID,-0.9516,122.7875,75.99,92,98,4.09,overcast clouds
19,Kaeo,NZ,-35.1,173.7833,54.32,96,100,2.68,moderate rain
20,Faanui,PF,-16.4833,-151.75,76.78,79,30,18.43,moderate rain
21,Mackay,AU,-21.15,149.2,44.69,63,0,12.8,clear sky
22,Saskylakh,RU,71.9167,114.0833,44.01,68,100,10.02,overcast clouds
23,Pangnirtung,CA,66.1451,-65.7125,49.15,76,98,3.44,overcast clouds
24,Talaya,RU,61.3833,152.75,70.54,72,17,7.16,few clouds
25,Yellowknife,CA,62.456,-114.3525,64.54,52,100,12.62,overcast clouds
26,Caravelas,BR,-17.7125,-39.2481,76.3,68,5,5.59,clear sky
27,Ancud,CL,-41.8697,-73.8203,41.23,78,89,10.27,light rain
28,Urucui,BR,-7.2294,-44.5561,96.76,23,82,8.93,broken clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,100,13.8,light rain
30,Chuy,UY,-33.6971,-53.4616,52.11,66,6,7.85,clear sky
31,Tiksi,RU,71.6872,128.8694,35.35,97,100,5.77,overcast clouds
32,Butaritari,KI,3.0707,172.7902,82.62,75,100,18.1,overcast clouds
33,Hamilton,US,39.1834,-84.5333,89.6,42,40,9.22,scattered clouds
34,Albany,US,42.6001,-73.9662,85.44,43,52,4.65,broken clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,59.95,55,0,16.11,clear sky
36,Port Alfred,ZA,-33.5906,26.891,57.65,82,0,10.83,clear sky
37,Rikitea,PF,-23.1203,-134.9692,73.11,76,70,4.43,light rain
38,Monte Patria,CL,-30.6919,-70.9467,57.11,65,83,6.31,broken clouds
39,Mataura,NZ,-46.1927,168.8643,43.48,98,100,3.78,overcast clouds
40,Sitka,US,57.0531,-135.33,55.29,88,100,12.66,overcast clouds
41,Sobradinho,BR,-12.8333,-39.1,76.73,57,6,7.29,clear sky
42,Vao,NC,-22.6667,167.4833,71.87,79,94,26.64,overcast clouds
43,Obong,PH,9.741,123.5098,78.84,82,59,2.21,broken clouds
44,Longyearbyen,SJ,78.2186,15.6401,51.64,87,75,0.0,broken clouds
45,San Jose,US,37.3394,-121.895,84.54,47,20,6.91,few clouds
46,Nam Dinh,VN,20.4167,106.1667,80.37,89,98,8.46,overcast clouds
47,Port Lincoln,AU,-34.7333,135.8667,50.7,80,5,4.47,clear sky
48,Contamana,PE,-7.3333,-75.0167,91.53,44,95,2.62,overcast clouds
49,Busselton,AU,-33.65,115.3333,58.05,74,0,11.45,clear sky
50,Nome,US,64.5011,-165.4064,60.17,64,75,0.0,broken clouds
51,Qaanaaq,GL,77.484,-69.3632,39.49,94,100,5.79,light rain
52,Hobart,AU,-42.8794,147.3294,37.26,94,20,4.61,few clouds
53,Okha,RU,53.5739,142.9478,52.36,97,87,11.07,overcast clouds
54,Norman Wells,CA,65.282,-126.8329,53.64,94,100,13.8,overcast clouds
55,Taoudenni,ML,22.6783,-3.9836,110.17,9,53,5.93,broken clouds
56,Avarua,CK,-21.2078,-159.775,75.25,60,75,9.22,broken clouds
57,Lagoa,PT,39.05,-27.9833,68.85,93,20,15.77,few clouds
58,Saldanha,ZA,-33.0117,17.9442,57.31,85,100,11.7,overcast clouds
59,Lavrentiya,RU,65.5833,-171.0,51.4,71,58,8.84,broken clouds
60,Bogotol,RU,56.2078,89.5342,48.24,70,97,5.21,overcast clouds
61,Hermanus,ZA,-34.4187,19.2345,61.81,81,100,20.29,overcast clouds
62,Narsaq,GL,60.9167,-46.05,61.02,65,100,6.93,overcast clouds
63,Ushuaia,AR,-54.8,-68.3,37.02,69,75,6.91,broken clouds
64,Manacapuru,BR,-3.2997,-60.6206,83.79,67,94,2.44,overcast clouds
65,Catamarca,AR,-28.4696,-65.7852,75.58,26,0,1.99,clear sky
66,Krasnoselkup,RU,65.7,82.4667,54.61,53,100,6.24,overcast clouds
67,Kloulklubed,PW,7.0419,134.2556,75.7,76,100,7.85,overcast clouds
68,Simplicio Mendes,BR,-7.8539,-41.9103,87.48,41,80,9.66,broken clouds
69,Rocha,UY,-34.4833,-54.3333,53.29,63,7,7.94,clear sky
70,Clyde River,CA,70.4692,-68.5914,43.03,81,20,16.11,few clouds
71,Barrow,US,71.2906,-156.7887,37.9,80,92,6.93,overcast clouds
72,Tulun,RU,54.5611,100.5792,52.95,95,100,5.86,overcast clouds
73,Saurimo,AO,-9.6608,20.3916,65.25,34,0,4.9,clear sky
74,Tasiilaq,GL,65.6145,-37.6368,48.36,80,22,4.41,few clouds
75,Wattegama,LK,6.7989,81.4808,77.2,67,46,10.04,scattered clouds
76,Nueve De Julio,AR,-35.4444,-60.8831,62.35,32,100,14.38,overcast clouds
77,Quelimane,MZ,-17.8786,36.8883,69.75,83,40,3.44,scattered clouds
78,Georgetown,MY,5.4112,100.3354,80.89,92,20,1.01,moderate rain
79,Conceicao Do Araguaia,BR,-8.2578,-49.2647,96.55,21,8,6.04,clear sky
80,Atuona,PF,-9.8,-139.0333,78.3,71,69,19.91,broken clouds
81,Rio Gallegos,AR,-51.6226,-69.2181,33.85,86,100,3.44,fog
82,Dunedin,NZ,-45.8742,170.5036,48.79,88,100,11.01,overcast clouds
83,Bethel,US,41.3712,-73.414,90.05,48,0,8.05,clear sky
84,Codrington,AU,-38.2667,141.9667,47.53,75,93,5.28,overcast clouds
85,Esperance,AU,-33.8667,121.9,56.73,51,30,21.99,scattered clouds
86,Springdale,US,36.1867,-94.1288,93.06,39,0,5.75,clear sky
87,Makushino,RU,55.2103,67.2442,64.9,69,5,3.29,clear sky
88,Evensk,RU,61.95,159.2333,52.81,87,78,3.65,broken clouds
89,Mazinde,TZ,-4.8,38.2167,67.96,80,75,4.72,broken clouds
90,Alofi,NU,-19.0595,-169.9187,76.89,78,100,10.36,overcast clouds
91,El Cope,PA,8.6167,-80.6,77.81,74,96,3.8,overcast clouds
92,Sao Filipe,CV,14.8961,-24.4956,75.34,80,99,11.88,overcast clouds
93,Yarada,IN,17.65,83.2667,80.92,78,75,11.5,light intensity drizzle
94,Vaini,TO,-21.2,-175.2,77.16,88,40,14.97,scattered clouds
95,Cayenne,GF,4.9333,-52.3333,86.04,70,20,5.75,few clouds
96,Hambantota,LK,6.1241,81.1185,80.94,89,20,10.36,few clouds
97,Cape Town,ZA,-33.9258,18.4232,56.88,93,100,13.8,drizzle
98,Grindavik,IS,63.8424,-22.4338,50.47,81,75,16.11,broken clouds
99,Shakawe,BW,-18.3667,21.85,60.24,36,0,4.52,clear sky
100,Auki,SB,-8.7676,160.7034,74.19,85,9,3.42,clear sky
101,Komsomolskiy,UZ,40.4272,71.7189,74.12,49,0,4.61,clear sky
102,Kahului,US,20.8947,-156.47,78.82,89,40,17.27,haze
103,Hithadhoo,MV,-0.6,73.0833,83.46,74,100,15.57,overcast clouds
104,New Norfolk,AU,-42.7826,147.0587,36.91,87,28,2.64,scattered clouds
105,Tsogni,GA,-2.7942,10.0988,69.57,91,93,6.73,overcast clouds
106,Ferrol,ES,43.4832,-8.2369,86.52,84,100,2.1,overcast clouds
107,Puerto Ayora,EC,-0.7393,-90.3518,76.96,81,41,5.99,scattered clouds
108,Maldonado,UY,-34.6667,-54.9167,58.23,61,7,8.16,clear sky
109,Kodiak,US,57.79,-152.4072,56.71,77,100,8.05,overcast clouds
110,Moranbah,AU,-22.0016,148.0466,45.48,64,0,9.35,clear sky
111,Boa Vista,BR,2.8197,-60.6733,85.98,66,75,8.05,broken clouds
112,Balkhash,KZ,46.844,74.9804,74.82,38,2,17.49,clear sky
113,Kavaratti,IN,10.5669,72.642,81.41,82,100,20.8,overcast clouds
114,Constitucion,CL,-35.3333,-72.4167,52.61,94,100,11.05,overcast clouds
115,Touros,BR,-5.1989,-35.4608,80.65,75,23,13.67,few clouds
116,Zhanaozen,KZ,43.3,52.8,91.24,18,0,9.1,clear sky
117,Grand Baie,MU,-20.0182,57.5802,68.47,77,65,5.99,light rain
118,Bilibino,RU,68.0546,166.4372,54.21,57,97,4.14,overcast clouds
119,Noumea,NC,-22.2763,166.4572,72.0,99,98,18.12,overcast clouds
120,Thompson,CA,55.7435,-97.8558,83.39,25,0,8.23,clear sky
121,Karratha,AU,-20.7377,116.8463,64.9,60,52,8.79,broken clouds
122,Vanavara,RU,60.34,102.2797,48.88,79,100,4.54,overcast clouds
123,Khatanga,RU,71.9667,102.5,43.5,81,100,10.07,overcast clouds
124,Moussoro,TD,13.6408,16.4901,90.64,38,70,8.63,broken clouds
125,Rognan,NO,67.0953,15.3878,56.75,71,100,6.87,light rain
126,Meulaboh,ID,4.1363,96.1285,77.67,90,100,6.51,overcast clouds
127,Ceyranbatan,AZ,40.5408,49.6597,74.91,30,0,2.98,clear sky
128,Aksu,CN,41.1231,80.2644,74.48,37,52,2.44,broken clouds
129,Sterling,US,39.0062,-77.4286,92.98,51,75,6.91,broken clouds
130,Bluff,NZ,-46.6,168.3333,43.81,80,100,13.09,overcast clouds
131,Surenavan,AM,39.75,44.8,80.56,38,0,7.34,clear sky
132,Castro,BR,-24.7911,-50.0119,57.2,88,100,8.99,overcast clouds
133,Bandarbeyla,SO,9.4942,50.8122,77.4,78,99,26.87,overcast clouds
134,Hasaki,JP,35.7333,140.8333,73.8,93,100,11.32,overcast clouds
135,Saint-Augustin,CA,51.226,-58.6502,63.73,82,99,20.71,overcast clouds
136,Aykhal,RU,66.0,111.5,44.04,89,12,7.45,few clouds
137,Kushmurun,KZ,52.4503,64.6311,70.29,72,2,5.88,clear sky
138,Nyamuswa,TZ,-1.9,34.0167,69.82,52,93,2.91,overcast clouds
139,Mandalgovi,MN,45.7625,106.2708,66.18,41,100,7.02,overcast clouds
140,Guerrero Negro,MX,27.9769,-114.0611,74.3,60,7,15.1,clear sky
141,Virginia Beach,US,36.8529,-75.978,89.02,71,100,7.0,thunderstorm
142,Lata,PT,40.1629,-8.3327,91.49,43,100,4.68,overcast clouds
143,Sinnamary,GF,5.3833,-52.95,75.9,92,100,4.0,overcast clouds
144,Henties Bay,NA,-22.116,14.2845,56.25,88,0,10.33,clear sky
145,Mount Gambier,AU,-37.8333,140.7667,44.51,100,75,3.44,mist
146,Yulara,AU,-25.2406,130.9889,42.26,62,0,9.64,clear sky
147,Buluang,PH,13.3068,123.3425,78.3,90,99,2.08,overcast clouds
148,Dikson,RU,73.5069,80.5464,41.97,75,100,11.68,overcast clouds
149,Lyuban,BY,52.7985,28.0048,54.28,96,56,10.74,broken clouds
150,Victoria,HK,22.2855,114.1577,86.32,83,75,3.0,broken clouds
151,Ponta Do Sol,PT,32.6667,-17.1,73.71,73,17,5.17,few clouds
152,Atamanovka,RU,51.93,113.63,52.23,79,0,2.8,clear sky
153,Saint George,US,37.1041,-113.5841,102.79,20,0,5.75,clear sky
154,Nadym,RU,65.5333,72.5167,58.6,50,100,13.09,overcast clouds
155,Benguela,AO,-12.5763,13.4055,68.79,87,53,4.36,broken clouds
156,Sangar,RU,63.9242,127.4739,60.13,95,100,5.14,overcast clouds
157,Huittinen,FI,61.1833,22.7,60.8,93,100,6.76,overcast clouds
158,Oliver,CA,49.1831,-119.5524,80.85,22,89,3.67,overcast clouds
159,Leh,IN,34.1667,77.5833,61.32,56,11,7.02,few clouds
160,Copiapo,CL,-27.3667,-70.3333,55.09,55,2,6.53,clear sky
161,Tiarei,PF,-17.5333,-149.3333,78.82,71,64,15.41,broken clouds
162,Birin,NP,26.8865,88.0718,66.04,88,100,6.11,overcast clouds
163,East London,ZA,-33.0153,27.9116,61.83,69,0,7.61,clear sky
164,Merauke,ID,-8.4667,140.3333,75.38,79,92,12.68,overcast clouds
165,Upernavik,GL,72.7868,-56.1549,42.04,85,15,10.49,few clouds
166,Concordia,AR,-31.393,-58.0209,62.78,52,0,11.99,clear sky
167,Kruisfontein,ZA,-34.0033,24.7314,46.89,84,0,7.43,clear sky
168,Ghanzi,BW,-21.5667,21.7833,59.5,33,2,7.61,clear sky
169,Nikolskoye,RU,59.7035,30.7861,67.89,69,1,4.68,clear sky
170,Nemuro,JP,43.3236,145.575,59.68,96,85,8.19,overcast clouds
171,Altay,CN,47.8667,88.1167,58.01,60,2,3.0,clear sky
172,Ruidoso,US,33.3317,-105.673,82.87,36,75,3.44,broken clouds
173,Chingola,ZM,-12.529,27.8838,61.54,50,60,8.37,broken clouds
174,Anloga,GH,5.7947,0.8973,76.21,86,100,12.71,overcast clouds
175,Navolato,MX,24.7672,-107.6944,96.13,61,91,7.83,overcast clouds
176,Zalantun,CN,48.0,122.7167,61.79,96,100,3.53,overcast clouds
177,San Patricio,US,28.017,-97.5169,99.32,36,30,15.26,scattered clouds
178,Coahuayana,MX,18.7333,-103.6833,89.2,61,70,7.23,broken clouds
179,Geraldton,AU,-28.7667,114.6,57.61,94,2,10.36,clear sky
180,Nalut,LY,30.3333,10.85,88.43,19,0,11.16,clear sky
181,Nara,JP,34.6851,135.8049,77.5,65,100,1.81,light rain
182,Oranjestad,AW,12.524,-70.027,85.95,70,75,18.41,broken clouds
183,Khorixas,NA,-20.3667,14.9667,65.97,28,0,1.28,clear sky
184,Regina,CA,50.4501,-104.6178,83.03,45,20,23.02,few clouds
185,Avera,US,33.194,-82.5271,82.38,90,100,10.87,overcast clouds
186,Penzance,GB,50.1186,-5.5371,63.28,68,100,18.3,overcast clouds
187,Kungurtug,RU,50.5994,97.5228,49.98,96,100,3.18,moderate rain
188,Koslan,RU,63.4564,48.8989,69.22,73,78,3.56,broken clouds
189,Miraflores,MX,19.2167,-98.8083,75.02,57,99,2.39,overcast clouds
190,Dabou,CI,5.3256,-4.3769,75.2,89,97,9.13,light rain
191,Bonavista,CA,48.6499,-53.1147,64.4,75,94,22.19,overcast clouds
192,Wunsiedel,DE,50.0333,12.0167,71.46,59,53,4.16,broken clouds
193,Lorengau,PG,-2.0226,147.2712,80.33,83,100,6.26,overcast clouds
194,Luebo,CD,-5.35,21.4167,78.03,32,40,2.55,scattered clouds
195,Zemio,CF,5.0314,25.1361,70.2,91,100,1.83,light rain
196,Saint-Philippe,RE,-21.3585,55.7679,65.79,75,52,13.11,broken clouds
197,Moissala,TD,8.3404,17.7663,70.02,93,100,1.03,overcast clouds
198,Seymchan,RU,62.8833,152.4333,69.69,71,0,9.8,clear sky
199,Najran,SA,17.4924,44.1277,77.65,41,100,2.75,overcast clouds
200,Westport,US,41.1415,-73.3579,91.99,46,0,12.66,clear sky
201,Marsa Matruh,EG,31.3525,27.2453,77.45,68,0,13.67,clear sky
202,Cerro Punta,PA,8.85,-82.5667,58.82,92,100,1.19,overcast clouds
203,Cabo San Lucas,MX,22.8909,-109.9124,91.71,48,0,6.91,clear sky
204,Ambilobe,MG,-13.2,49.05,71.44,71,22,4.9,few clouds
205,Saint Anthony,US,45.0205,-93.218,80.26,60,20,8.05,few clouds
206,Mahebourg,MU,-20.4081,57.7,68.29,83,75,11.5,broken clouds
207,Provideniya,RU,64.3833,-173.3,51.22,83,100,7.94,light rain
208,Nantucket,US,41.2835,-70.0995,84.34,78,0,6.91,clear sky
209,Ballybofey,IE,54.8,-7.7833,58.75,81,95,8.14,overcast clouds
210,Launceston,AU,-41.45,147.1667,34.16,97,32,5.75,scattered clouds
211,Korla,CN,41.7597,86.1469,77.94,26,100,13.44,overcast clouds
212,Ilulissat,GL,69.2167,-51.1,46.42,81,75,5.75,broken clouds
213,Pangody,RU,65.85,74.4859,55.44,64,100,6.58,overcast clouds
214,Narrabri,AU,-30.3167,149.7833,38.88,87,0,4.97,clear sky
215,Kawalu,ID,-7.3817,108.2082,70.99,97,82,1.23,moderate rain
216,Klaksvik,FO,62.2266,-6.589,49.12,77,46,12.88,scattered clouds
217,Abu Kamal,SY,34.4506,40.9171,93.18,16,2,11.74,clear sky
218,Port Elizabeth,ZA,-33.918,25.5701,55.69,76,0,11.5,clear sky
219,Tateyama,JP,34.9833,139.8667,74.1,90,100,8.48,overcast clouds
220,Olafsvik,IS,64.8945,-23.7142,49.3,80,100,10.71,overcast clouds
221,Alamos,MX,27.0167,-108.9333,90.95,55,70,5.12,broken clouds
222,Jacareacanga,BR,-6.2222,-57.7528,96.98,25,69,4.23,broken clouds
223,Kavieng,PG,-2.5744,150.7967,80.28,78,100,5.26,light rain
224,Gazli,UZ,40.1333,63.45,88.97,19,0,10.38,clear sky
225,Roma,US,43.2128,-75.4557,83.95,43,75,3.44,broken clouds
226,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,11.5,light rain
227,Vila Velha,BR,-20.3297,-40.2925,76.95,78,20,18.01,few clouds
